instance_id	stratum	experiments	reentry	score
ansible--ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	0	1	100
element-hq--element-web	UNDER	0	1	100
element-hq--element-web-4fec436883b601a3cac2d4a58067e597f737b817-vnan	UNDER	0	1	100
element-hq--element-web-66d0b318bc6fee0d17b54c1781d6ab5d5d323135-vnan	UNDER	0	1	100
element-hq--element-web-ad26925bb6628260cfe0fcf90ec0a8cba381f4a4-vnan	UNDER	0	1	100
element-hq--element-web-dae13ac8522fc6d41e64d1ac6e3174486fdcce0c-vnan	UNDER	0	1	100
flipt-io--flipt	UNDER	0	1	100
flipt-io--flipt-f808b4dd6e36b9dc8b011eb26b196f4e2cc64c41	UNDER	0	1	100
future-architect--vuls	UNDER	0	1	100
future-architect--vuls-3c1489e588dacea455ccf4c352a3b1006902e2d4	UNDER	0	1	100
gravitational--teleport	UNDER	0	1	100
gravitational--teleport-c782838c3a174fdff80cafd8cd3b1aa4dae8beb2	UNDER	0	1	100
gravitational--teleport-db89206db6c2969266e664c7c0fb51b70e958b64	UNDER	0	1	100
internetarchive--openlibrary	UNDER	0	1	100
internetarchive--openlibrary-308a35d6999427c02b1dbf5211c033ad3b352556-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	UNDER	0	1	100
navidrome--navidrome	UNDER	0	1	100
navidrome--navidrome-69e0a266f48bae24a11312e9efbe495a337e4c84	UNDER	0	1	100
navidrome--navidrome-fa85e2a7816a6fe3829a4c0d8e893e982b0985da	UNDER	0	1	100
protonmail--webclients	UNDER	0	1	100
protonmail--webclients-1917e37f5d9941a3459ce4b0177e201e2d94a622	UNDER	0	1	100
protonmail--webclients-369fd37de29c14c690cb3b1c09a949189734026f	UNDER	0	1	100
protonmail--webclients-5f0745dd6993bb1430a951c62a49807c6635cd77	UNDER	0	1	100
protonmail--webclients-6e1873b06df6529a469599aa1d69d3b18f7d9d37	UNDER	0	1	100
protonmail--webclients-715dbd4e6999499cd2a576a532d8214f75189116	UNDER	0	1	100
protonmail--webclients-e65cc5f33719e02e1c378146fb981d27bc24bdf4	UNDER	0	1	100
protonmail--webclients-fc9d535e9beb3ae30a52a7146398cadfd6e30606	UNDER	0	1	100
qutebrowser--qutebrowser-322834d0e6bf17e5661145c9f085b41215c280e8-v488d33dd1b2540b234cbb0468af6b6614941ce8f	UNDER	0	1	100
qutebrowser--qutebrowser-ff1c025ad3210506fc76e1f604d8c8c27637d88e-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	0	1	100
tutao--tutanota	UNDER	0	1	100
qutebrowser--qutebrowser-deeb15d6f009b3ca0c3bd503a7cef07462bd16b4-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	24	0	24
qutebrowser--qutebrowser-35168ade46184d7e5b91dfa04ca42fe2abd82717-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	20	0	20
internetarchive--openlibrary-08ac40d050a64e1d2646ece4959af0c42bf6b7b5-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4	UNDER	14	0	14
ansible--ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59	UNDER	10	0	10
internetarchive--openlibrary-0dc5b20fa186f9714f8a838178597e69f549d026-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59	UNDER	10	0	10
qutebrowser--qutebrowser-9ed748effa8f3bcd804612d9291da017b514e12f-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	10	0	10
internetarchive--openlibrary-e8084193a895d8ee81200f49093389a3887479ce-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	UNDER	9	0	9
qutebrowser--qutebrowser-e64622cd2df5b521342cf4a62e0d4cb8f8c9ae5a-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	9	0	9
internetarchive--openlibrary-798055d1a19b8fa0983153b709f460be97e33064-v13642507b4fc1f8d234172bf8129942da2c2ca26	UNDER	8	0	8
internetarchive--openlibrary-7c8dc180281491ccaa1b4b43518506323750d1e4-v298a7a812ceed28c4c18355a091f1b268fe56d86	UNDER	8	0	8
internetarchive--openlibrary-dbbd9d539c6d4fd45d5be9662aa19b6d664b5137-v08d8e8889ec945ab821fb156c04c7d2e2810debb	UNDER	8	0	8
ansible--ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	7	0	7
internetarchive--openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	UNDER	7	0	7
internetarchive--openlibrary-3c48b4bb782189e0858e6c3fc7956046cf3e1cfb-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59	UNDER	7	0	7
internetarchive--openlibrary-8a9d9d323dfcf2a5b4f38d70b1108b030b20ebf3-v13642507b4fc1f8d234172bf8129942da2c2ca26	UNDER	7	0	7
internetarchive--openlibrary-b67138b316b1e9c11df8a4a8391fe5cc8e75ff9f-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	UNDER	7	0	7
qutebrowser--qutebrowser-5cef49ff3074f9eab1da6937a141a39a20828502-v02ad04386d5238fe2d1a1be450df257370de4b6a	UNDER	7	0	7
internetarchive--openlibrary-5de7de19211e71b29b2f2ba3b1dff2fe065d660f-v08d8e8889ec945ab821fb156c04c7d2e2810debb	UNDER	6	0	6
internetarchive--openlibrary-9bdfd29fac883e77dcbc4208cab28c06fd963ab2-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c	UNDER	6	0	6
qutebrowser--qutebrowser-0d2afd58f3d0e34af21cee7d8a3fc9d855594e9f-vnan	UNDER	6	0	6
qutebrowser--qutebrowser-46e6839e21d9ff72abb6c5d49d5abaa5a8da8a81-v2ef375ac784985212b1805e1d0431dc8f1b3c171	UNDER	6	0	6
qutebrowser--qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	6	0	6
qutebrowser--qutebrowser-ef5ba1a0360b39f9eff027fbdc57f363597c3c3b-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	6	0	6
internetarchive--openlibrary-53e02a22972e9253aeded0e1981e6845e1e521fe-vfa6ff903cb27f336e17654595dd900fa943dcd91	UNDER	5	0	5
internetarchive--openlibrary-8a5a63af6e0be406aa6c8c9b6d5f28b2f1b6af5a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4	UNDER	5	0	5
internetarchive--openlibrary-c506c1b0b678892af5cb22c1c1dbc35d96787a0a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4	UNDER	5	0	5
internetarchive--openlibrary-e1e502986a3b003899a8347ac8a7ff7b08cbfc39-v08d8e8889ec945ab821fb156c04c7d2e2810debb	UNDER	5	0	5
internetarchive--openlibrary-111347e9583372e8ef91c82e0612ea437ae3a9c9-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59	UNDER	4	0	4
qutebrowser--qutebrowser-54bcdc1eefa86cc20790973d6997b60c3bba884c-v2ef375ac784985212b1805e1d0431dc8f1b3c171	UNDER	4	0	4
qutebrowser--qutebrowser-e70f5b03187bdd40e8bf70f5f3ead840f52d1f42-v02ad04386d5238fe2d1a1be450df257370de4b6a	UNDER	4	0	4
ansible--ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8	UNDER	3	0	3
ansible--ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a	UNDER	3	0	3
ansible--ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	3	0	3
ansible--ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86	UNDER	3	0	3
ansible--ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	3	0	3
ansible--ansible-811093f0225caa4dd33890933150a81c6a6d5226-v1055803c3a812189a1133297f7f5468579283f86	UNDER	3	0	3
ansible--ansible-cb94c0cc550df9e98f1247bc71d8c2b861c75049-v1055803c3a812189a1133297f7f5468579283f86	UNDER	3	0	3
ansible--ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	UNDER	3	0	3
flipt-io--flipt-f36bd61fb1cee4669de1f00e59da462bfeae8765	UNDER	3	0	3
gravitational--teleport-007235446f85b1cbaef92664c3b3867517250f21	UNDER	3	0	3
internetarchive--openlibrary-77c16d530b4d5c0f33d68bead2c6b329aee9b996-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	UNDER	3	0	3
navidrome--navidrome-89b12b34bea5687c70e4de2109fd1e7330bb2ba2	UNDER	3	0	3
qutebrowser--qutebrowser-479aa075ac79dc975e2e949e188a328e95bf78ff-vc2f56a753b62a190ddb23cd330c257b9cf560d12	UNDER	3	0	3
NodeBB--NodeBB-da0211b1a001d45d73b4c84c6417a4f1b0312575-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	UNDER	2	0	2
ansible--ansible-1ee70fc272aff6bf3415357c6e13c5de5b928d9b-v1055803c3a812189a1133297f7f5468579283f86	UNDER	2	0	2
ansible--ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59	UNDER	2	0	2
ansible--ansible-e64c6c1ca50d7d26a8e7747d8eb87642e767cd74-v0f01c69f1e2528b935359cfe578530722bca2c59	UNDER	2	0	2
ansible--ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59	UNDER	2	0	2
internetarchive--openlibrary-123e6e5e1c85b9c07d1e98f70bfc480bc8016890-v2733ff199fb72f0d033a30dc62cb0a4742e3a7f4	UNDER	2	0	2
internetarchive--openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63	UNDER	2	0	2
internetarchive--openlibrary-2abe28b472ffed563a87cfe83685b161b35263b0-v13642507b4fc1f8d234172bf8129942da2c2ca26	UNDER	2	0	2
qutebrowser--qutebrowser-0b621cb0ce2b54d3f93d8d41d8ff4257888a87e5-v2ef375ac784985212b1805e1d0431dc8f1b3c171	UNDER	2	0	2
qutebrowser--qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	2	0	2
qutebrowser--qutebrowser-394bfaed6544c952c6b3463751abab3176ad4997-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24	UNDER	2	0	2
qutebrowser--qutebrowser-77c3557995704a683cdb67e2a3055f7547fa22c3-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	UNDER	2	0	2
NodeBB--NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10-vd59a5728dfc977f44533186ace531248c2917516	MID	1	0	1
NodeBB--NodeBB-bad15643013ca15affe408b75eba9e47cc604bb2-vd59a5728dfc977f44533186ace531248c2917516	MID	1	0	1
ansible--ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59	MID	1	0	1
ansible--ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2	MID	1	0	1
ansible--ansible-5260527c4a71bfed99d803e687dd19619423b134-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	MID	1	0	1
ansible--ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1-v0f01c69f1e2528b935359cfe578530722bca2c59	MID	1	0	1
ansible--ansible-a20a52701402a12f91396549df04ac55809f68e9-v1055803c3a812189a1133297f7f5468579283f86	MID	1	0	1
ansible--ansible-b5e0293645570f3f404ad1dbbe5f006956ada0df-v0f01c69f1e2528b935359cfe578530722bca2c59	MID	1	0	1
ansible--ansible-b748edea457a4576847a10275678127895d2f02f-v1055803c3a812189a1133297f7f5468579283f86	MID	1	0	1
ansible--ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	MID	1	0	1
ansible--ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2	MID	1	0	1
future-architect--vuls-0ec945d0510cdebf92cdd8999f94610772689f14	MID	1	0	1
internetarchive--openlibrary-03095f2680f7516fca35a58e665bf2a41f006273-v8717e18970bcdc4e0d2cea3b1527752b21e74866	MID	1	0	1
internetarchive--openlibrary-2fe532a33635aab7a9bfea5d977f6a72b280a30c-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4	MID	1	0	1
internetarchive--openlibrary-3f7db6bbbcc7c418b3db72d157c6aed1d45b2ccf-v430f20c722405e462d9ef44dee7d34c41e76fe7a	MID	1	0	1
internetarchive--openlibrary-6afdb09df692223c3a31df65cfa92f15e5614c01-v08d8e8889ec945ab821fb156c04c7d2e2810debb	MID	1	0	1
internetarchive--openlibrary-7f6b722a10f822171501d027cad60afe53337732-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	MID	1	0	1
internetarchive--openlibrary-b112069e31e0553b2d374abb5f9c5e05e8f3dbbe-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	MID	1	0	1
internetarchive--openlibrary-bb152d23c004f3d68986877143bb0f83531fe401-ve8c8d62a2b60610a3c4631f5f23ed866bada9818	MID	1	0	1
navidrome--navidrome-0488fb92cb02a82924fb1181bf1642f2e87096db	MID	1	0	1
navidrome--navidrome-c90468b895f6171e33e937ff20dc915c995274f0	MID	1	0	1
qutebrowser--qutebrowser-0fc6d1109d041c69a68a896db87cf1b8c194cef7-v2ef375ac784985212b1805e1d0431dc8f1b3c171	MID	1	0	1
qutebrowser--qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	MID	1	0	1
qutebrowser--qutebrowser-7f9713b20f623fc40473b7167a082d6db0f0fd40-va0fd88aac89cde702ec1ba84877234da33adce8a	MID	1	0	1
qutebrowser--qutebrowser-bf045f7ec7c27709ea3ef61cf41a24e8fdd2e7da-v059c6fdc75567943479b23ebca7c07b5e9a7f34c	MID	1	0	1
qutebrowser--qutebrowser-cc360cd4a34a126274c7b51f3b63afbaf3e05a02-v5fc38aaf22415ab0b70567368332beee7955b367	MID	1	0	1
qutebrowser--qutebrowser-e5340c449f23608803c286da0563b62f58ba25b0-v059c6fdc75567943479b23ebca7c07b5e9a7f34c	MID	1	0	1
qutebrowser--qutebrowser-f631cd4422744160d9dcf7a0455da532ce973315-v35616345bb8052ea303186706cec663146f0f184	MID	1	0	1
qutebrowser--qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171	MID	1	0	1
qutebrowser--qutebrowser-fec187c2cb53d769c2682b35ca77858a811414a8-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d	MID	1	0	1
tutao--tutanota-fe240cbf7f0fdd6744ef7bef8cb61676bcdbb621-vc4e41fd0029957297843cb9dec4a25c7c756f029	MID	1	0	1
NodeBB--NodeBB-04998908ba6721d64eba79ae3b65a351dcfbc5b5-vnan	DET	0	0	0
NodeBB--NodeBB-05f2236193f407cf8e2072757fbd6bb170bc13f0-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-087e6020e490b4a1759f38c1ad03869511928263-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-0c81642997ea1d827dbd02c311db9d4976112cd4-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-0f788b8eaa4bba3c142d171fd941d015c53b65fc-v0ec6d6c2baf3cb4797482ce4829bc25cd5716649	DET	0	0	0
NodeBB--NodeBB-18c45b44613aecd53e9f60457b9812049ab2998d-v0495b863a912fbff5749c67e860612b91825407c	DET	0	0	0
NodeBB--NodeBB-22368b996ee0e5f11a5189b400b33af3cc8d925a-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	DET	0	0	0
NodeBB--NodeBB-2657804c1fb6b84dc76ad3b18ecf061aaab5f29f-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-397835a05a8e2897324e566b41c5e616e172b4af-v89631a1cdb318276acb48860c5d78077211397c6	DET	0	0	0
NodeBB--NodeBB-4327a09d76f10a79109da9d91c22120428d3bdb9-vnan	DET	0	0	0
NodeBB--NodeBB-445b70deda20201b7d9a68f7224da751b3db728c-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	DET	0	0	0
NodeBB--NodeBB-51d8f3b195bddb13a13ddc0de110722774d9bb1b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-6489e9fd9ed16ea743cc5627f4d86c72fbdb3a8a-v2c59007b1005cd5cd14cbb523ca5229db1fd2dd8	DET	0	0	0
NodeBB--NodeBB-6ea3b51f128dd270281db576a1b59270d5e45db0-vnan	DET	0	0	0
NodeBB--NodeBB-70b4a0e2aebebe8f2f559de6680093d96a697b2f-vnan	DET	0	0	0
NodeBB--NodeBB-767973717be700f46f06f3e7f4fc550c63509046-vnan	DET	0	0	0
NodeBB--NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48-vd59a5728dfc977f44533186ace531248c2917516	DET	0	0	0
NodeBB--NodeBB-7b8bffd763e2155cf88f3ebc258fa68ebe18188d-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-8168c6c40707478f71b8af60300830fe554c778c-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-82562bec444940608052f3e4149e0c61ec80bf3f-vd59a5728dfc977f44533186ace531248c2917516	DET	0	0	0
NodeBB--NodeBB-84dfda59e6a0e8a77240f939a7cb8757e6eaf945-v2c59007b1005cd5cd14cbb523ca5229db1fd2dd8	DET	0	0	0
NodeBB--NodeBB-84e065752f6d7fbe5c08cbf50cb173ffb866b8fa-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-8ca65b0c78c67c1653487c02d1135e1b702185e1-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-97c8569a798075c50e93e585ac741ab55cb7c28b-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-a917210c5b2c20637094545401f85783905c074c-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
NodeBB--NodeBB-b1f9ad5534bb3a44dab5364f659876a4b7fe34c1-vnan	DET	0	0	0
NodeBB--NodeBB-b398321a5eb913666f903a794219833926881a8f-vd59a5728dfc977f44533186ace531248c2917516	DET	0	0	0
NodeBB--NodeBB-bd80d36e0dcf78cd4360791a82966078b3a07712-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	DET	0	0	0
NodeBB--NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a-v0495b863a912fbff5749c67e860612b91825407c	DET	0	0	0
NodeBB--NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad-vnan	DET	0	0	0
NodeBB--NodeBB-f083cd559d69c16481376868c8da65172729c0ca-vnan	DET	0	0	0
NodeBB--NodeBB-f1a80d48cc45877fcbadf34c2345dd9709722c7f-v4fbcfae8b15e4ce5d132c408bca69ebb9cf146ed	DET	0	0	0
NodeBB--NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a-vd59a5728dfc977f44533186ace531248c2917516	DET	0	0	0
NodeBB--NodeBB-f48ed3658aab7be0f1165d4c1f89af48d7865189-v0495b863a912fbff5749c67e860612b91825407c	DET	0	0	0
NodeBB--NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e	DET	0	0	0
ansible--ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2	DET	0	0	0
ansible--ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8	DET	0	0	0
ansible--ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8	DET	0	0	0
ansible--ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a	DET	0	0	0
ansible--ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8	DET	0	0	0
ansible--ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1-v173091e2e36d38c978002990795f66cfc0af30ad	DET	0	0	0
ansible--ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-5e88cd9972f10b66dd97e1ee684c910c6a2dd25e-v906c969b551b346ef54a2c0b41e04f632b7b73c2	DET	0	0	0
ansible--ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-622a493ae03bd5e5cf517d336fc426e9d12208c7-v906c969b551b346ef54a2c0b41e04f632b7b73c2	DET	0	0	0
ansible--ansible-709484969c8a4ffd74b839a673431a8c5caa6457-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-748f534312f2073a25a87871f5bd05882891b8c4-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-77658704217d5f166404fc67997203c25381cb6e-v390e508d27db7a51eece36bb6d9698b63a5b638a	DET	0	0	0
ansible--ansible-7e1a347695c7987ae56ef1b6919156d9254010ad-v390e508d27db7a51eece36bb6d9698b63a5b638a	DET	0	0	0
ansible--ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc-v30a923fb5c164d6cd18280c02422f75e611e8fb2	DET	0	0	0
ansible--ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-935528e22e5283ee3f63a8772830d3d01f55ed8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5	DET	0	0	0
ansible--ansible-949c503f2ef4b2c5d668af0492a5c0db1ab86140-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
ansible--ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751-v1055803c3a812189a1133297f7f5468579283f86	DET	0	0	0
ansible--ansible-9a21e247786ebd294dafafca1105fcd770ff46c6-v67cdaa49f89b34e42b69d5b7830b3c3ad3d8803f	DET	0	0	0
ansible--ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44-v0f01c69f1e2528b935359cfe578530722bca2c59	DET	0	0	0
