Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-31T04:36:52.745Z","","","Included","composer-2.5","No","0","21139","201829","3175","226143","Included"
"2026-05-31T04:36:43.871Z","","","Included","composer-2.5","No","0","52611","1051217","14388","1118216","Included"
"2026-05-31T04:36:40.485Z","","","Included","composer-2.5","No","0","37887","692640","9899","740426","Included"
"2026-05-31T04:36:38.640Z","","","Included","composer-2.5","No","0","49454","783877","10446","843777","Included"
"2026-05-31T04:36:33.846Z","","","Included","composer-2.5","No","0","55715","839328","13937","908980","Included"
"2026-05-31T04:36:29.465Z","","","Included","composer-2.5","No","0","30266","250185","3908","284359","Included"
"2026-05-31T04:36:09.204Z","","","Included","composer-2.5","No","0","31422","686464","7418","725304","Included"
"2026-05-31T04:35:58.976Z","","","Included","composer-2.5","No","0","39222","532910","8328","580460","Included"
"2026-05-31T04:35:33.997Z","","","Included","composer-2.5","No","0","21726","211837","3359","236922","Included"
"2026-05-31T04:35:29.936Z","","","Included","composer-2.5","No","0","25531","315744","3747","345022","Included"
"2026-05-31T04:35:24.471Z","","","Included","composer-2.5","No","0","54967","1303016","14398","1372381","Included"
"2026-05-31T04:35:14.525Z","","","Included","composer-2.5","No","0","32694","425465","8100","466259","Included"
"2026-05-31T04:34:57.457Z","","","Included","composer-2.5","No","0","22872","245260","3374","271506","Included"
"2026-05-31T04:34:52.437Z","","","Included","composer-2.5","No","0","63494","1001065","9408","1073967","Included"
"2026-05-31T04:34:37.425Z","","","Included","composer-2.5","No","0","42079","838826","10273","891178","Included"
"2026-05-31T04:34:35.991Z","","","Included","composer-2.5","No","0","52453","372319","5409","430181","Included"
"2026-05-31T04:34:32.314Z","","","Included","composer-2.5","No","0","32831","354134","3823","390788","Included"
"2026-05-31T04:34:25.846Z","","","Included","composer-2.5","No","0","70101","2157538","19982","2247621","Included"
"2026-05-31T04:34:18.851Z","","","Included","composer-2.5","No","0","41240","583167","8918","633325","Included"
"2026-05-31T04:34:02.675Z","","","Included","composer-2.5","No","0","34583","351953","7280","393816","Included"
"2026-05-31T04:33:48.826Z","","","Included","composer-2.5","No","0","72596","1766211","14453","1853260","Included"
"2026-05-31T04:33:40.288Z","","","Included","composer-2.5","No","0","56914","1465156","14444","1536514","Included"
"2026-05-31T04:33:36.758Z","","","Included","composer-2.5","No","0","22456","181331","2230","206017","Included"
"2026-05-31T04:33:30.668Z","","","Included","composer-2.5","No","0","51076","895783","13173","960032","Included"
"2026-05-31T04:33:28.559Z","","","Included","composer-2.5","No","0","39310","460796","9192","509298","Included"
"2026-05-31T04:33:18.595Z","","","Included","composer-2.5","No","0","56894","1230454","13010","1300358","Included"
"2026-05-31T04:33:17.114Z","","","Included","composer-2.5","No","0","44417","778835","10133","833385","Included"
"2026-05-31T04:32:53.503Z","","","Included","composer-2.5","No","0","40770","666854","6474","714098","Included"
"2026-05-31T04:32:53.318Z","","","Included","composer-2.5","No","0","41852","629409","9627","680888","Included"
"2026-05-31T04:32:39.093Z","","","Included","composer-2.5","No","0","87427","1080672","13414","1181513","Included"
"2026-05-31T04:32:20.881Z","","","Included","composer-2.5","No","0","24065","259000","3918","286983","Included"
"2026-05-31T04:32:05.029Z","","","Included","composer-2.5","No","0","18009","148198","2069","168276","Included"
"2026-05-31T04:32:02.742Z","","","Included","composer-2.5","No","0","41774","674885","11927","728586","Included"
"2026-05-31T04:31:47.174Z","","","Included","composer-2.5","No","0","38849","505878","7527","552254","Included"
"2026-05-31T04:31:46.048Z","","","Included","composer-2.5","No","0","87055","1411189","12426","1510670","Included"
"2026-05-31T04:31:45.310Z","","","Included","composer-2.5","No","0","30961","565154","4646","600761","Included"
"2026-05-31T04:31:30.978Z","","","Included","composer-2.5","No","0","23652","322144","4423","350219","Included"
"2026-05-31T04:31:20.708Z","","","Included","composer-2.5","No","0","35450","863830","8856","908136","Included"
"2026-05-31T04:30:25.810Z","","","Included","composer-2.5","No","0","43182","1074592","10347","1128121","Included"
"2026-05-31T04:30:17.934Z","","","Included","composer-2.5","No","0","41671","435265","8569","485505","Included"
"2026-05-31T04:29:37.991Z","","","Included","composer-2.5","No","0","83858","964325","20020","1068203","Included"
"2026-05-31T04:29:24.107Z","","","Included","composer-2.5","No","0","54098","954564","10678","1019340","Included"
"2026-05-31T04:29:23.670Z","","","Included","composer-2.5","No","0","63038","2044817","27287","2135142","Included"
"2026-05-31T04:29:14.755Z","","","Included","composer-2.5","No","0","47860","863378","8246","919484","Included"
"2026-05-31T04:28:57.345Z","","","Included","composer-2.5","No","0","29701","627565","6586","663852","Included"
"2026-05-31T04:28:48.962Z","","","Included","composer-2.5","No","0","44647","759386","8684","812717","Included"
"2026-05-31T04:28:31.613Z","","","Included","composer-2.5","No","0","54815","1005496","12843","1073154","Included"
"2026-05-31T04:28:29.855Z","","","Included","composer-2.5","No","0","37712","876749","11014","925475","Included"
"2026-05-31T04:28:16.216Z","","","Included","composer-2.5","No","0","86652","2405504","20552","2512708","Included"
"2026-05-31T04:28:15.790Z","","","Included","composer-2.5","No","0","23249","216512","2477","242238","Included"
"2026-05-31T04:28:05.367Z","","","Included","composer-2.5","No","0","57978","1553536","18457","1629971","Included"
"2026-05-31T04:27:33.726Z","","","Included","composer-2.5","No","0","62690","1969424","15887","2048001","Included"
"2026-05-31T04:27:24.505Z","","","Included","composer-2.5","No","0","38007","795962","7361","841330","Included"
"2026-05-31T04:27:21.001Z","","","Included","composer-2.5","No","0","52933","1444260","14495","1511688","Included"
"2026-05-31T04:27:20.922Z","","","Included","composer-2.5","No","0","19914","224382","2487","246783","Included"
"2026-05-31T04:27:06.124Z","","","Included","composer-2.5","No","0","34670","494816","7428","536914","Included"
"2026-05-31T04:27:02.537Z","","","Included","composer-2.5","No","0","31711","388504","6024","426239","Included"
"2026-05-31T04:27:02.494Z","","","Included","composer-2.5","No","0","50008","1326650","15201","1391859","Included"
"2026-05-31T04:26:40.260Z","","","Included","composer-2.5","No","0","42406","577143","10201","629750","Included"
"2026-05-31T04:26:23.875Z","","","Included","composer-2.5","No","0","23623","220972","2643","247238","Included"
"2026-05-31T04:26:09.522Z","","","Included","composer-2.5","No","0","53524","1077354","17133","1148011","Included"
"2026-05-31T04:25:54.816Z","","","Included","composer-2.5","No","0","54808","204323","3088","262219","Included"
"2026-05-31T04:25:53.677Z","","","Included","composer-2.5","No","0","57527","1057709","15559","1130795","Included"
"2026-05-31T04:25:52.679Z","","","Included","composer-2.5","No","0","32493","421742","6163","460398","Included"
"2026-05-31T04:25:35.104Z","","","Included","composer-2.5","No","0","30819","576138","7969","614926","Included"
"2026-05-31T04:25:20.740Z","","","Included","composer-2.5","No","0","21916","216471","3141","241528","Included"
"2026-05-31T04:25:03.520Z","","","Included","composer-2.5","No","0","34044","358786","4352","397182","Included"
"2026-05-31T04:24:58.875Z","","","Included","composer-2.5","No","0","44599","693145","11111","748855","Included"
"2026-05-31T04:24:56.387Z","","","Included","composer-2.5","No","0","28461","463458","4809","496728","Included"
"2026-05-31T04:24:49.515Z","","","Included","composer-2.5","No","0","37840","550774","10355","598969","Included"
"2026-05-31T04:24:22.655Z","","","Included","composer-2.5","No","0","67617","1245807","15604","1329028","Included"
"2026-05-31T04:24:18.662Z","","","Included","composer-2.5","No","0","28929","211163","2353","242445","Included"
"2026-05-31T04:23:49.195Z","","","Included","composer-2.5","No","0","36579","446619","5234","488432","Included"
"2026-05-31T04:23:28.000Z","","","Included","composer-2.5","No","0","31415","541521","6650","579586","Included"
"2026-05-31T04:23:26.470Z","","","Included","composer-2.5","No","0","36501","400785","11547","448833","Included"
"2026-05-31T04:23:17.788Z","","","Included","composer-2.5","No","0","26313","380309","3566","410188","Included"
"2026-05-31T04:23:13.388Z","","","Included","composer-2.5","No","0","36454","315604","3460","355518","Included"
"2026-05-31T04:23:13.047Z","","","Included","composer-2.5","No","0","25404","312512","3770","341686","Included"
"2026-05-31T04:23:07.192Z","","","Included","composer-2.5","No","0","25602","439937","4933","470472","Included"
"2026-05-31T04:23:00.533Z","","","Included","composer-2.5","No","0","81335","2928390","25306","3035031","Included"
"2026-05-31T04:22:25.856Z","","","Included","composer-2.5","No","0","47543","1367180","11753","1426476","Included"
"2026-05-31T04:22:14.097Z","","","Included","composer-2.5","No","0","57765","1476064","14080","1547909","Included"
"2026-05-31T04:21:37.484Z","","","Included","composer-2.5","No","0","64338","628422","7854","700614","Included"
"2026-05-31T04:21:35.738Z","","","Included","composer-2.5","No","0","38791","605714","6547","651052","Included"
"2026-05-31T04:21:14.771Z","","","Included","composer-2.5","No","0","28304","227641","4089","260034","Included"
"2026-05-31T04:20:51.038Z","","","Included","composer-2.5","No","0","39794","609863","11097","660754","Included"
"2026-05-31T04:20:31.643Z","","","Included","composer-2.5","No","0","38440","591709","8901","639050","Included"
"2026-05-31T04:20:06.623Z","","","Included","composer-2.5","No","0","34515","578979","4661","618155","Included"
"2026-05-31T04:20:04.162Z","","","Included","composer-2.5","No","0","43172","608554","4716","656442","Included"
"2026-05-31T04:19:56.807Z","","","Included","composer-2.5","No","0","61335","1373923","8119","1443377","Included"
"2026-05-31T04:19:51.676Z","","","Included","composer-2.5","No","0","86100","945627","12637","1044364","Included"
"2026-05-31T04:19:42.318Z","","","Included","composer-2.5","No","0","41810","870674","11692","924176","Included"
"2026-05-31T04:18:40.189Z","","","Included","composer-2.5","No","0","22239","112194","1638","136071","Included"
"2026-05-31T04:18:16.673Z","","","Included","composer-2.5","No","0","63091","2636065","19788","2718944","Included"
"2026-05-31T04:18:13.675Z","","","Included","composer-2.5","No","0","65331","1376183","9371","1450885","Included"
"2026-05-31T04:18:06.487Z","","","Included","composer-2.5","No","0","58469","1232683","13520","1304672","Included"
"2026-05-31T04:17:54.915Z","","","Included","composer-2.5","No","0","68828","694037","9589","772454","Included"
"2026-05-31T04:16:52.264Z","","","Included","composer-2.5","No","0","65776","1339381","11300","1416457","Included"
"2026-05-31T04:16:51.467Z","","","Included","composer-2.5","No","0","27422","248598","5637","281657","Included"
"2026-05-31T04:16:38.259Z","","","Included","composer-2.5","No","0","24080","369694","3778","397552","Included"
"2026-05-31T04:16:35.913Z","","","Included","composer-2.5","No","0","38331","560579","5789","604699","Included"
"2026-05-31T04:16:09.614Z","","","Included","composer-2.5","No","0","59489","979437","11170","1050096","Included"
"2026-05-31T04:15:52.757Z","","","Included","composer-2.5","No","0","64689","1365402","12944","1443035","Included"
"2026-05-31T04:15:52.016Z","","","Included","composer-2.5","No","0","20876","186925","2348","210149","Included"
"2026-05-31T04:15:42.885Z","","","Included","composer-2.5","No","0","78745","1998485","14351","2091581","Included"
"2026-05-31T04:15:39.680Z","","","Included","composer-2.5","No","0","88266","1335203","10365","1433834","Included"
"2026-05-31T04:15:11.436Z","","","Included","composer-2.5","No","0","51923","1265204","13156","1330283","Included"
"2026-05-31T04:14:40.598Z","","","Included","composer-2.5","No","0","86755","1893975","15886","1996616","Included"
"2026-05-31T04:14:13.662Z","","","Included","composer-2.5","No","0","62406","943292","12589","1018287","Included"
"2026-05-31T04:14:09.920Z","","","Included","composer-2.5","No","0","24924","301897","3652","330473","Included"
"2026-05-31T04:13:59.701Z","","","Included","composer-2.5","No","0","34041","314244","6029","354314","Included"
"2026-05-31T04:13:13.250Z","","","Included","composer-2.5","No","0","32610","341826","4238","378674","Included"
"2026-05-31T04:13:12.942Z","","","Included","composer-2.5","No","0","31452","539751","6095","577298","Included"
"2026-05-31T04:13:07.604Z","","","Included","composer-2.5","No","0","19730","170446","1944","192120","Included"
"2026-05-31T04:13:02.461Z","","","Included","composer-2.5","No","0","75270","1552504","12170","1639944","Included"
"2026-05-31T04:12:53.014Z","","","Included","composer-2.5","No","0","88310","2688644","20303","2797257","Included"
"2026-05-31T04:12:51.602Z","","","Included","composer-2.5","No","0","119004","1868093","16312","2003409","Included"
"2026-05-31T04:12:33.181Z","","","Included","composer-2.5","No","0","30149","454423","4339","488911","Included"
"2026-05-31T04:11:19.108Z","","","Included","composer-2.5","No","0","65176","1195424","12239","1272839","Included"
"2026-05-31T04:11:06.752Z","","","Included","composer-2.5","No","0","31844","448677","6444","486965","Included"
"2026-05-31T04:10:55.804Z","","","Included","composer-2.5","No","0","39428","778560","9567","827555","Included"
"2026-05-31T04:10:53.662Z","","","Included","composer-2.5","No","0","80935","2499173","19916","2600024","Included"
"2026-05-31T04:10:43.944Z","","","Included","composer-2.5","No","0","42415","961812","9391","1013618","Included"
"2026-05-31T04:10:28.228Z","","","Included","composer-2.5","No","0","58991","1033543","12582","1105116","Included"
"2026-05-31T04:10:21.585Z","","","Included","composer-2.5","No","0","27727","414750","4449","446926","Included"
"2026-05-31T04:10:15.598Z","","","Included","composer-2.5","No","0","67697","2169461","15069","2252227","Included"
"2026-05-31T04:10:11.320Z","","","Included","composer-2.5","No","0","43945","807754","11019","862718","Included"
"2026-05-31T04:09:57.469Z","","","Included","composer-2.5","No","0","47429","756725","10224","814378","Included"
"2026-05-31T04:09:32.208Z","","","Included","composer-2.5","No","0","21528","154187","1616","177331","Included"
"2026-05-31T04:09:28.642Z","","","Included","composer-2.5","No","0","20562","177282","1834","199678","Included"
"2026-05-31T04:08:58.232Z","","","Included","composer-2.5","No","0","80795","1581074","15150","1677019","Included"
"2026-05-31T04:08:30.341Z","","","Included","composer-2.5","No","0","65785","844566","9842","920193","Included"
"2026-05-31T04:08:29.907Z","","","Included","composer-2.5","No","0","41175","834861","10122","886158","Included"
"2026-05-31T04:08:29.651Z","","","Included","composer-2.5","No","0","51803","838596","13335","903734","Included"
"2026-05-31T04:07:53.445Z","","","Included","composer-2.5","No","0","51491","652156","5462","709109","Included"
"2026-05-31T04:07:45.250Z","","","Included","composer-2.5","No","0","41163","803072","7145","851380","Included"
"2026-05-31T04:07:28.526Z","","","Included","composer-2.5","No","0","36855","556296","8014","601165","Included"
"2026-05-31T04:07:26.285Z","","","Included","composer-2.5","No","0","47488","2179904","13653","2241045","Included"
"2026-05-31T04:07:17.898Z","","","Included","composer-2.5","No","0","24364","352394","4265","381023","Included"
"2026-05-31T04:07:01.393Z","","","Included","composer-2.5","No","0","131541","2265591","19107","2416239","Included"
"2026-05-31T04:06:50.433Z","","","Included","composer-2.5","No","0","52741","1589459","13940","1656140","Included"
"2026-05-31T04:06:47.080Z","","","Included","composer-2.5","No","0","21869","150880","1812","174561","Included"
"2026-05-31T04:05:45.310Z","","","Included","composer-2.5","No","0","53183","713444","13799","780426","Included"
"2026-05-31T04:05:27.077Z","","","Included","composer-2.5","No","0","32376","503370","6151","541897","Included"
"2026-05-31T04:05:20.170Z","","","Included","composer-2.5","No","0","29480","410250","4667","444397","Included"
"2026-05-31T04:04:55.562Z","","","Included","composer-2.5","No","0","37045","402671","7876","447592","Included"
"2026-05-31T04:04:52.669Z","","","Included","composer-2.5","No","0","54001","1100210","10843","1165054","Included"
"2026-05-31T04:04:49.987Z","","","Included","composer-2.5","No","0","69171","2018906","18645","2106722","Included"
"2026-05-31T04:04:49.984Z","","","Included","composer-2.5","No","0","27188","324366","3048","354602","Included"
"2026-05-31T04:04:03.138Z","","","Included","composer-2.5","No","0","22975","185921","1946","210842","Included"
"2026-05-31T04:03:58.023Z","","","Included","composer-2.5","No","0","47248","1030529","11210","1088987","Included"
"2026-05-31T04:03:56.747Z","","","Included","composer-2.5","No","0","75058","1184285","10538","1269881","Included"
"2026-05-31T04:03:45.047Z","","","Included","composer-2.5","No","0","23075","188107","2724","213906","Included"
"2026-05-31T04:03:40.406Z","","","Included","composer-2.5","No","0","40110","816475","10546","867131","Included"
"2026-05-31T04:03:12.714Z","","","Included","composer-2.5","No","0","49730","1101686","7769","1159185","Included"
"2026-05-31T04:02:46.178Z","","","Included","composer-2.5","No","0","44091","993767","10731","1048589","Included"
"2026-05-31T04:02:01.947Z","","","Included","composer-2.5","No","0","34182","501900","7831","543913","Included"
"2026-05-31T04:01:56.973Z","","","Included","composer-2.5","No","0","51979","1258505","13272","1323756","Included"
"2026-05-31T04:01:45.915Z","","","Included","composer-2.5","No","0","50445","1038605","16637","1105687","Included"
"2026-05-31T04:01:31.756Z","","","Included","composer-2.5","No","0","24688","403200","3819","431707","Included"
"2026-05-31T04:01:09.512Z","","","Included","composer-2.5","No","0","19121","177056","1930","198107","Included"
"2026-05-31T04:01:07.460Z","","","Included","composer-2.5","No","0","39234","681835","11795","732864","Included"
"2026-05-31T04:00:54.676Z","","","Included","composer-2.5","No","0","24973","251839","3432","280244","Included"
"2026-05-31T04:00:51.630Z","","","Included","composer-2.5","No","0","66733","2082112","15696","2164541","Included"
"2026-05-31T04:00:44.684Z","","","Included","composer-2.5","No","0","47185","345774","3431","396390","Included"
"2026-05-31T04:00:29.220Z","","","Included","composer-2.5","No","0","57513","576508","8408","642429","Included"
"2026-05-31T04:00:26.592Z","","","Included","composer-2.5","No","0","57305","1434632","13364","1505301","Included"
"2026-05-31T04:00:17.422Z","","","Included","composer-2.5","No","0","52148","1579513","12999","1644660","Included"
"2026-05-31T04:00:10.002Z","","","Included","composer-2.5","No","0","28356","273831","4299","306486","Included"
"2026-05-31T03:59:25.800Z","","","Included","composer-2.5","No","0","29213","205444","3350","238007","Included"
"2026-05-31T03:59:03.011Z","","","Included","composer-2.5","No","0","27550","380608","4117","412275","Included"
"2026-05-31T03:58:55.393Z","","","Included","composer-2.5","No","0","29670","275733","4285","309688","Included"
"2026-05-31T03:58:41.214Z","","","Included","composer-2.5","No","0","21969","237365","3612","262946","Included"
"2026-05-31T03:58:32.276Z","","","Included","composer-2.5","No","0","51696","1286368","11948","1350012","Included"
"2026-05-31T03:58:26.325Z","","","Included","composer-2.5","No","0","27625","439388","6008","473021","Included"
"2026-05-31T03:57:58.315Z","","","Included","composer-2.5","No","0","44950","634415","9957","689322","Included"
"2026-05-31T03:57:53.508Z","","","Included","composer-2.5","No","0","37007","686851","8061","731919","Included"
"2026-05-31T03:57:18.814Z","","","Included","composer-2.5","No","0","36277","686063","6792","729132","Included"
"2026-05-31T03:57:08.853Z","","","Included","composer-2.5","No","0","47955","1113824","11406","1173185","Included"
"2026-05-31T03:56:58.201Z","","","Included","composer-2.5","No","0","22773","267025","4151","293949","Included"
"2026-05-31T03:56:51.256Z","","","Included","composer-2.5","No","0","53281","1148633","16526","1218440","Included"
"2026-05-31T03:56:50.971Z","","","Included","composer-2.5","No","0","23591","267614","3211","294416","Included"
"2026-05-31T03:56:10.105Z","","","Included","composer-2.5","No","0","52364","652815","8041","713220","Included"
"2026-05-31T03:55:49.700Z","","","Included","composer-2.5","No","0","40653","468445","7662","516760","Included"
"2026-05-31T03:55:03.305Z","","","Included","composer-2.5","No","0","23165","281151","2995","307311","Included"
"2026-05-31T03:54:39.950Z","","","Included","composer-2.5","No","0","22392","184261","3149","209802","Included"
"2026-05-31T03:54:36.283Z","","","Included","composer-2.5","No","0","54942","1169436","11578","1235956","Included"
"2026-05-31T03:54:34.203Z","","","Included","composer-2.5","No","0","46967","1034177","10069","1091213","Included"
"2026-05-31T03:54:27.645Z","","","Included","composer-2.5","No","0","22279","242008","3380","267667","Included"
"2026-05-31T03:54:24.681Z","","","Included","composer-2.5","No","0","45790","680287","10105","736182","Included"
"2026-05-31T03:54:10.421Z","","","Included","composer-2.5","No","0","47431","2066842","13832","2128105","Included"
"2026-05-31T03:53:48.935Z","","","Included","composer-2.5","No","0","95390","1355691","13359","1464440","Included"
"2026-05-31T03:53:31.612Z","","","Included","composer-2.5","No","0","66026","1242080","15299","1323405","Included"
